params,data_fraction,n_samples_sub,train_time_s,emissions_kg,roc_auc,baseline_auc,delta_auc,EAUG,iter
"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1}",0.1,4085,0.6119933128356934,1.3765243164987252e-05,0.6962603878116345,0.7161634480249193,0.0,0.0,0
"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.1,4085,0.6182732582092285,1.3683498576496126e-05,0.7318267969091704,0.7161634480249193,0.015663348884251138,1144.6888963876359,1
"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.1,4085,1.008009433746338,2.2621473292902895e-05,0.7030908295669923,0.7161634480249193,0.0,0.0,2
"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4}",0.1,4085,1.3106613159179688,2.952581481870525e-05,0.741172182533897,0.7161634480249193,0.02500873450897778,847.0125096474628,3
"{'n_estimators': 100, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1}",0.1,4085,0.8154301643371582,1.8206593163172244e-05,0.6533313894153665,0.7161634480249193,0.0,0.0,4
"{'n_estimators': 500, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.1,4085,2.7576231956481934,6.184157748942902e-05,0.7082665111532294,0.7161634480249193,0.0,0.0,5
"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.1,4085,0.514305591583252,1.1567512450881027e-05,0.7034698935704913,0.7161634480249193,0.0,0.0,6
"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1}",0.1,4085,0.525648832321167,1.2067230690150022e-05,0.7020848520192449,0.7161634480249193,0.0,0.0,7
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}",0.1,4085,2.2269861698150635,5.009367615623754e-05,0.705656801282986,0.7161634480249193,0.0,0.0,8
"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 2}",0.1,4085,0.6399126052856445,1.4559705284227561e-05,0.7631724741215921,0.7161634480249193,0.04700902609667279,3228.7072560182505,9
"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.1,4085,0.5303366184234619,1.2220134970592496e-05,0.6785245662633037,0.7161634480249193,0.0,0.0,10
"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1}",0.1,4085,1.343590497970581,3.022067369668267e-05,0.7457209505758857,0.7161634480249193,0.029557502550966452,978.0557127093757,11
"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.1,4085,1.5097920894622803,3.4053225015147513e-05,0.7129027555037177,0.7161634480249193,0.0,0.0,12
"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 1}",0.1,4085,0.3096005916595459,7.101578153095855e-06,0.7301939058171746,0.7161634480249193,0.014030457792255313,1975.68167100138,13
"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.1,4085,1.2182788848876953,2.711118415733485e-05,0.6726636535938184,0.7161634480249193,0.0,0.0,14
"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.1,4085,2.735826253890991,6.140858054649183e-05,0.7226272051319435,0.7161634480249193,0.006463757107024182,105.25820739547197,15
"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 2}",0.1,4085,1.1877193450927734,2.6684558434313264e-05,0.7552558682023618,0.7161634480249193,0.03909242017744252,1464.9828391829103,16
"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4}",0.1,4085,0.5466454029083252,1.2302780073389457e-05,0.7060796034407348,0.7161634480249193,0.0,0.0,17
"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1}",0.1,4085,1.556577205657959,3.5138226681228524e-05,0.7278612042571803,0.7161634480249193,0.011697756232260992,332.90684639216994,18
"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.1,4085,0.474606990814209,1.0591231175263713e-05,0.7082373523837294,0.7161634480249193,0.0,0.0,19
"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 1}",0.1,4085,1.9145920276641846,4.308677941961645e-05,0.7313748359819214,0.7161634480249193,0.015211387957002165,353.0407276176404,20
"{'n_estimators': 100, 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 2}",0.1,4085,0.5864601135253906,1.3219030544851858e-05,0.6289327890363027,0.7161634480249193,0.0,0.0,21
"{'n_estimators': 200, 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.1,4085,0.9830801486968994,2.217769967808599e-05,0.7184283423239539,0.7161634480249193,0.0022648942990346477,102.12485207708953,22
"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.1,4085,1.0795540809631348,2.421279068821963e-05,0.7290275550371773,0.7161634480249193,0.012864107012258041,531.2938594276487,23
"{'n_estimators': 200, 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.1,4085,1.1080701351165771,2.4833399267253337e-05,0.7438402099431404,0.7161634480249193,0.027676761918221104,1114.4975208737203,24
"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.1,4085,1.6803438663482666,3.777078890470159e-05,0.7537979297273656,0.7161634480249193,0.03763448170244632,996.3912005492081,25
"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 2}",0.1,4085,0.7773542404174805,1.741528942323173e-05,0.7377897652719055,0.7161634480249193,0.02162631724698627,1241.800622511452,26
"{'n_estimators': 300, 'max_depth': 15, 'min_samples_split': 10, 'min_samples_leaf': 2}",0.1,4085,1.5949368476867676,3.564281176904876e-05,0.6878845312727803,0.7161634480249193,0.0,0.0,27
"{'n_estimators': 500, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.1,4085,2.63684344291687,5.9417649304554395e-05,0.7160956407639597,0.7161634480249193,0.0,0.0,28
"{'n_estimators': 200, 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.1,4085,1.0105454921722412,2.2556723323274956e-05,0.7161247995334596,0.7161634480249193,0.0,0.0,29
